Ticker,RSI,volume,Beta,DividendYield,PER,Volatility
AAPL,60.8910360413643,68889000.0,1.264,0.5499999999999999,28.970451,0.0125700447475783
MSFT,61.32131823546408,6343245.161290322,0.893,0.72000003,35.88205,0.01582433442062
AMZN,61.22854347900023,5172203.225806451,1.155,0.0,52.407307,0.0208048542923251
GOOGL,53.16039732405885,3051075.806451613,1.019,0.47,25.901989,0.0191490523747819
GOOG,53.08636365832885,3502120.9677419355,1.019,0.47,26.211655,0.0192832699417391
BRK-B,54.375483583383605,62635000.0,0.894,0.0,12.126806,0.0086096980965881
JNJ,51.16644343753735,2514345.1612903224,0.547,3.3099998,22.46954,0.0104266412203533
JPM,70.10080419186272,2071358.064516129,1.116,2.31,11.986128,0.0130881722974123
V,66.37744286324549,68340982.25806452,0.953,0.74,31.286674,0.0098164052851085
PG,52.26435963688983,3683137.0967741935,0.423,2.41,27.102942,0.0094038599346003
T,62.90524683240555,6315074.193548387,0.7,6.460000000000001,9.27957,0.0170270327925605
MA,62.15856645161809,56242940.32258064,1.075,0.58,36.416866,0.0108389719354526
DIS,54.9737772384111,1108790.322580645,1.395,0.8500000000000001,115.03261,0.0166507205123861
XOM,41.44790299166188,331814.51612903224,0.947,3.22,14.449756,0.0156769467814102
BAC,67.08082582134689,729801.6129032258,1.375,2.5,13.175861,0.0169426555777586
VZ,66.37334396123013,8184196.774193549,0.405,6.5799996,15.18352,0.0144677190782642
INTC,62.88121778076408,3900017.741935484,1.09,1.68,31.453608,0.0242589889074528
WMT,50.29742685998823,20387998.387096774,0.494,1.37,31.628273,0.0098435512584296
MRK,54.00343110361473,3353988.709677419,0.402,2.3699999,143.65555,0.0118796821111673
CSCO,47.02693547440776,1161570.9677419355,0.857,3.3299997,14.796352,0.0128435035912395
HD,67.23975064387905,1788900.0,1.011,2.5999999,22.580132,0.013557202406481
KO,66.75466593536959,4484374.193548387,0.575,3.0700000000000003,25.534138,0.0084744168612727
CVX,46.52307508809116,19623061.29032258,1.107,3.9300002,15.122242,0.0144837023805007
PEP,57.77986517952351,1940153.225806452,0.525,3.01,27.285067,0.0094688650137804
CMCSA,52.09607286516373,1959104.838709677,0.99,3.15,10.530504,0.0151103676244973
ORCL,51.740834173970654,18426298.387096774,1.024,1.37,30.704487,0.0190059818339917
ABBV,56.75924489468898,9260633.870967742,0.593,3.8599998,48.0,0.0123565064721842
PM,55.02417466244452,8916166.129032258,0.618,5.2199997,19.392578,0.0103861090736249
LLY,48.57904997735543,4978288.70967742,0.371,0.6799999999999999,112.0858,0.0182004396810539
ABT,66.49751226198214,1521272.5806451612,0.751,2.1,32.638626,0.0125139657367883
UNH,52.48795011250174,2933465.9032258065,0.561,1.47,31.27995,0.0132960504544405
ACN,66.15888019631461,10942722.58064516,1.207,1.68,27.870354,0.0137553102570757
NFLX,68.10629092422597,6648527.419354838,1.232,0.0,42.759365,0.0236769500148552
MCD,72.98032533999154,10201053.741935484,0.709,2.4300002000000003,23.051826,0.0087982039708565
MDT,60.69267343102567,6249900.0,0.795,3.3299997,26.514284,0.0134950500059442
NKE,66.69226054868686,15510861.29032258,1.076,1.63,27.270588,0.017055992027736
